ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
NJ0150000,OCEAN COUNTY SHERIFF'S OFFICE,County,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.953976,-74.193436,
NJ0150100,BARNEGAT LIGHT POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.616623,-74.20031,
NJ0150200,BAY HEAD POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0150300,BEACH HAVEN POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.562916,-74.24069,
NJ0150400,BEACHWOOD POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0150500,BERKELEY TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0150600,BRICK TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0150700,TOMS RIVER TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.986946,-74.181694,
NJ0150900,HARVEY CEDARS POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0151000,ISLAND HEIGHTS POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0151100,JACKSON TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0151200,LACEY TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.859646,-74.20687,
NJ0151300,LAKEHURST POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.01238,-74.309944,
NJ0151400,LAKEWOOD TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.093304,-74.21318,
NJ0151500,LAVALLETTE POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.96813,-74.069305,
NJ0151600,LITTLE EGG HARBOR TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.576393,-74.36449,
NJ0151700,LONG BEACH TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.616623,-74.20031,
NJ0151800,MANCHESTER TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.00575,-74.297325,
NJ0151900,MANTOLOKING POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0152000,"OCEAN TOWNSHIP, OCEAN COUNTY POLICE DEPARTMENT",City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,,,
NJ0152100,OCEAN GATE POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.92474,-74.14068,
NJ0152200,PINE BEACH POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.933838,-74.169586,
NJ0152300,PLUMSTED TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.06676,-74.52342,
NJ0152400,POINT PLEASANT POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.071968,-74.068245,
NJ0152500,POINT PLEASANT BEACH POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,40.087223,-74.04756,
NJ0152600,SEASIDE HEIGHTS POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.94345,-74.07366,
NJ0152700,SEASIDE PARK POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0152800,SHIP BOTTOM POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.644833,-74.179726,
NJ0152900,SOUTH TOMS RIVER POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.94322,-74.20031,
NJ0153000,STAFFORD TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0153100,SURF CITY POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.56866,-74.236404,
NJ0153200,TUCKERTON POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.59049,-74.33893,
NJ0153300,BARNEGAT TOWNSHIP POLICE DEPARTMENT,City,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
NJ0158900,PROSECUTOR: OCEAN COUNTY,Other,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.953693,-74.19349,
NJ015SP00,STATE POLICE: OCEAN COUNTY,State Police,New Jersey,NJ,Middle Atlantic,Northeast,Region I,OCEAN,False,39.865669,-74.258864,
