P_ID,P_name,P_address,P_city,P_zip,P_latitude,P_longitude
5443,BERKELEY TOWNSHIP POLICE DEPARTMENT,631 PINEWALD KESWICK ROAD,BAYVILLE,08721,39.9056057000001,-74.2344368
6221,BEACH HAVEN POLICE DEPARTMENT,300 ENGLESIDE AVENUE,BEACH HAVEN,08008,39.5630485030001,-74.241287023
6514,PLUMSTED TOWNSHIP POLICE DEPARTMENT,2 CEDAR STREET,NEW EGYPT,08533,40.0666059000001,-74.5232113
7382,MANTOLOKING POLICE DEPARTMENT,202 DOWNER AVENUE,MANTOLOKING,08738,40.03698689,-74.052315885
7389,BAY HEAD POLICE DEPARTMENT,81 BRIDGE AVENUE,BAY HEAD,08742,40.0695504620001,-74.0465646659999
8276,OCEAN GATE BOROUGH POLICE DEPARTMENT,801 OCEAN GATE AVENUE,OCEAN GATE,08740,39.9244337000001,-74.1404029999999
9165,STAFFORD TOWNSHIP POLICE DEPARTMENT,260 EAST BAY AVENUE,MANAHAWKIN,08050,39.6918431,-74.2503976
9168,BARNEGAT TOWNSHIP POLICE DEPARTMENT,900 WEST BAY AVENUE,BARNEGAT,08005,39.758761237,-74.244876389
10168,TUCKERTON BOROUGH POLICE DEPARTMENT,445 SOUTH GREEN STREET,TUCKERTON,08087,39.5928671,-74.3386298
10336,LAKEWOOD POLICE DEPARTMENT,231 3RD STREET,LAKEWOOD,08701,40.0935915000001,-74.2131649999999
10388,JACKSON TOWNSHIP POLICE DEPARTMENT,102 JACKSON DRIVE,JACKSON,08527,40.110020461,-74.3540878279999
10799,LAVALLETTE POLICE DEPARTMENT,1300 GRAND CENTRAL AVENUE,LAVALLETTE,08735,39.9685623,-74.0695133
11004,SURF CITY POLICE DEPARTMENT,813 LONG BEACH BOULEVARD,SURF CITY,08008,39.6604518,-74.1674492
12479,BEACHWOOD POLICE DEPARTMENT,1600 PINEWALD ROAD,BEACHWOOD,08722,39.9177658,-74.2072329
12488,HARVEY CEDARS POLICE DEPARTMENT,7606 LONG BEACH BOULEVARD,HARVEY CEDARS,08008,39.7050931910001,-74.135201851
12489,BRICK TOWNSHIP POLICE DEPARTMENT,401 CHAMBERS BRIDGE ROAD,BRICK,08723,40.0752609,-74.152465299
12585,SOUTH TOMS RIVER POLICE DEPARTMENT,144 MILL STREET,SOUTH TOMS RIVER,08757,39.94175503,-74.2026431309999
13275,LACEY TOWNSHIP POLICE DEPARTMENT,808 WEST LACEY ROAD,FORKED RIVER,08731,39.8606832,-74.2073008
13519,ISLAND HEIGHTS POLICE DEPARTMENT,1 EAST END AVENUE,ISLAND HEIGHTS,08732,39.9409456000001,-74.1369119
13860,POINT PLEASANT POLICE DEPARTMENT,2233 BRIDGE AVENUE,POINT PLEASANT,08742,40.0726473010001,-74.069449672
14024,MANCHESTER TOWNSHIP POLICE DEPARTMENT,1 COLONIAL DRIVE,MANCHESTER,08759,40.0065705000001,-74.297077299
14069,BOROUGH OF PINE BEACH POLICE DEPARTMENT,599 PENNSYLVANIA AVENUE,PINE BEACH,08741,39.933579385,-74.1698491929999
14070,LITTLE EGG HARBOR TOWNSHIP POLICE DEPARTMENT,665 RADIO ROAD,LITTLE EGG HARBOR,08087,39.5761797920001,-74.3636304679999
14103,SEASIDE HEIGHTS POLICE DEPARTMENT,116 SHERMAN AVENUE,SEASIDE HEIGHTS,08751,39.9437372,-74.0737397999999
18416,NEW JERSEY STATE POLICE TROOP C - TUCKERTON STATION,399 MAIN STREET,WEST CREEK,08092,39.6490523000001,-74.2966627
18735,NEW JERSEY STATE POLICE - PLEASANT PLAINS SUBSTATION,"GARDEN STATE PARKWAY, MILE MARKER 83.8",TOMS RIVER,08755,39.9843890000001,-74.2125124999999
19276,LONG BEACH TOWNSHIP POLICE DEPARTMENT,6805 LONG BEACH BOULEVARD,BRANT BEACH,08008,39.6158931000001,-74.1994831
19277,LAKEHURST POLICE DEPARTMENT,5 UNION AVENUE,LAKEHURST,08733,40.0125713,-74.3099233
19288,TOMS RIVER POLICE DEPARTMENT,255 OAK AVENUE,TOMS RIVER,08753,39.9873247,-74.1845878
19311,OCEAN TOWNSHIP POLICE DEPARTMENT,50 RAILROAD AVENUE,WARETOWN,08758,39.7904972000001,-74.197807
19431,OCEAN COUNTY SHERIFFS DEPARTMENT,144 CHESTNUT STREET,TOMS RIVER,08753,39.9735115,-74.195503
19567,SHIP BOTTOM POLICE DEPARTMENT,1621 LONG BEACH BOULEVARD,SHIP BOTTOM,08008,39.644869,-74.1800407
19585,SEASIDE PARK BOROUGH POLICE DEPARTMENT,6TH AVENUE AND CENTRAL AVENUE,SEASIDE PARK,08752,39.9187315,-74.0790876999999
21138,POINT PLEASANT BEACH POLICE DEPARTMENT,416 NEW JERSEY AVENUE,POINT PLEASANT BEACH,08742,40.0869543000001,-74.0469075
19276,BARNEGAT LIGHT POLICE DEPARTMENT,6805 LONG BEACH BOULEVARD,BRANT BEACH,08008,39.6158931000001,-74.1994831
